date,return_GRG.L,return_NXT.L,return_JD.L,return_DOM.L,return_JDW.L,return_BME.L,return_MKS.L,trends_GRG.L,trends_NXT.L,trends_JD.L,trends_DOM.L,trends_JDW.L,trends_BME.L,trends_MKS.L,Total_Container_Imports
2021-09-30,-0.030852588178219675,0.03817940697498212,0.03863299864763303,-0.03694683910982233,-0.06289297962894547,0.056529375097534196,0.022284106219083943,71,84,56,76,87,78,64,35476.688
2021-10-31,0.03629566844694865,-0.029955890047788092,0.037672878218145245,-0.023220800782885243,-0.019175497458336133,0.07213034052326783,0.0005450814282443872,79,87,54,85,89,79,70,35368.736
2021-11-30,-0.018330566939655624,-0.013055626806749876,0.024356532021451605,-0.07235131299819508,-0.16177906523462426,-0.020447191801735154,0.2864922879700982,80,100,83,81,78,89,85,35368.736
2021-12-31,0.1127042549485362,0.036631851318768005,-0.022880063168801312,0.2779944224696109,0.12069961814734698,0.02265575454703761,-0.020321861845071676,78,94,100,100,75,92,100,35368.736
2022-01-31,-0.2004795280792896,-0.0798158907245129,-0.1365931160725784,-0.15736696960680852,-0.07180009664257592,-0.10693987681997275,-0.05877262225219548,70,64,44,76,64,65,55,35239.829
2022-02-28,-0.03485731157467342,-0.08482269527596287,-0.19702219231390516,-0.05587170443134415,-0.01793729984955217,0.0692335485132407,-0.19742870534307666,83,74,38,80,76,64,49,35239.829
2022-03-31,-0.044116568796583544,-0.12095596437736378,-0.018212011579472165,0.037260170200725806,-0.1078767695004813,-0.11760810171299374,-0.11498867104968569,70,75,39,69,72,72,55,35239.829
2022-04-30,-0.04510362441010041,-0.0009947142581763213,-0.10016850574582459,-0.08171765709489498,-0.05886115267996084,-0.0823662635472393,-0.10956696832440782,72,75,43,76,83,80,56,37557.894
2022-05-31,-0.03640774729092677,0.07500842872020996,-0.0805846539913252,-0.03222085527027396,0.014955875977533672,-0.2050183838947951,0.08784050318613335,69,82,48,65,73,79,53,37557.894
2022-06-30,-0.20141344187074117,-0.09539976875583,-0.059111417362842755,-0.1700356022381042,-0.16409918109789245,-0.05873970443485976,-0.09576256365057023,72,78,51,71,80,82,54,37557.894
2022-07-31,0.12831856701877165,0.16167363931549272,0.12264999893516237,0.022922553599600715,-0.10817306986630615,0.15707660936778423,0.04391154856030366,74,79,52,77,80,88,54,36025.25
