Price,Close,High,Low,Open,Volume
Ticker,MKS.L,MKS.L,MKS.L,MKS.L,MKS.L
2021-11-02,190.83969116210938,193.33890144581414,185.8412705946998,185.8412705946998,12911716
2021-11-03,188.5904083251953,191.78940980038635,183.6419748458404,189.93998802591463,6156332
2021-11-04,192.5391845703125,195.03839509041535,187.79068458211705,188.9403153197762,8410939
2021-11-05,193.83876037597656,196.1720229338557,189.790051567115,190.98966955692472,6020769
2021-11-08,190.23989868164062,195.58220497467457,188.9632939553397,194.78846466002443,5271160
2021-11-09,194.38858032226562,195.5881982539745,188.59641925339946,190.43983097232112,11691963
2021-11-10,226.42845153808594,235.42560855284432,214.13233390045568,224.92892536895954,38925412
2021-11-11,232.4265594482422,234.47991149862227,222.8295857307271,228.12791465281418,14337131
2021-11-12,236.92510986328125,240.82387139235587,231.77174002307032,232.4265318279025,9727544
2021-11-15,236.22535705566406,239.32436862869574,233.5262130230336,236.02542328546343,7477061
2021-11-16,232.12664794921875,236.62522645697095,230.52716252106606,236.22535891342503,7073039
2021-11-17,227.62808227539062,230.02733343384566,224.32213514804712,227.92799057694373,8949469
2021-11-18,236.12539672851562,236.12539672851562,226.1285550782485,228.0279641441811,7581993
2021-11-19,240.72393798828125,242.92323999090303,235.1257008416358,238.224727700309,14335284
2021-11-22,245.42245483398438,249.91203359392702,244.92261276711272,248.92134930208599,19265079
2021-11-23,247.22189331054688,249.72110368519057,242.52338085701066,243.62302426947215,6126083
2021-11-24,243.22315979003906,247.62176400350535,241.22379146501444,247.32185570395768,10182500
2021-11-25,245.52244567871094,246.22222156807968,239.15345544245739,244.1228786460031,5179033
2021-11-26,238.02481079101562,243.62303308030005,233.8381298810768,239.32438802965495,6646487
2021-11-29,240.62396240234375,242.12348856844142,236.02542464535898,237.32500178613512,9880267
2021-11-30,236.12539672851562,241.0238582895284,236.12539672851562,239.12444922359575,10204013
2021-12-01,240.62396240234375,242.42339685245474,236.52526670072487,237.22504252744332,13343760
2021-12-02,238.62461853027344,240.1241448493836,232.42657946207876,234.82581547106685,8047669
2021-12-03,241.0238494873047,242.89725046630588,237.62491429796154,242.0235336158228,9426430
2021-12-06,244.8226318359375,246.3221579972535,241.2037802478983,242.1234877963625,3912288
2021-12-07,248.22158813476562,248.42152192254105,244.36280654021644,247.12192942104556,4151357
2021-12-08,243.72300720214844,249.42120400230897,241.3237560072592,247.82170320571615,6673923
2021-12-09,242.22344970703125,246.4221196894865,241.923541439577,245.52241014109185,4786782
2021-12-10,236.92510986328125,240.92384589472903,236.3252933569771,240.92384589472903,5555593
2021-12-13,233.42623901367188,238.924501602859,233.42623901367188,237.72488372510287,4810827
2021-12-14,228.72772216796875,235.1256942235051,225.32878711961558,233.42623432631282,13160195
2021-12-15,223.12948608398438,229.92734095429645,222.62964403843156,228.8276823524928,8523029
