Price,Close,High,Low,Open,Volume
Ticker,DOM.L,DOM.L,DOM.L,DOM.L,DOM.L
2023-07-20,327.5817565917969,336.7700375657154,322.7978559416895,331.9761399137589,871215
2023-07-21,325.5843505859375,328.38076839950276,320.5907255769507,326.9825594927201,633252
2023-07-24,325.38458251953125,328.9799985015741,319.79174707931713,324.78537192141346,484691
2023-07-25,332.5754089355469,332.77516611736525,321.9889183511745,325.1848503882681,785336
2023-07-26,341.5639343261719,343.56138423451205,326.58306001362047,326.58306001362047,796240
2023-07-27,344.3603515625,349.8643416020608,341.1644500004753,342.16317495335807,3581339
2023-07-28,347.15679931640625,353.9481167966904,342.16317455776596,353.9481167966904,2882028
2023-07-31,346.95703125,353.74837899589545,344.56009753678165,344.56009753678165,1159612
2023-08-01,392.2991638183594,399.4899959366869,349.553746444601,358.742028542612,3793182
2023-08-02,405.4822998046875,405.4822998046875,386.90601100854286,387.50525203009545,2425177
2023-08-03,405.4822998046875,414.4708236919835,398.4912256701239,403.6846072186941,2185642
2023-08-04,401.68719482421875,408.5554101011922,399.8894715923666,405.4823375159056,1438976
2023-08-07,403.88433837890625,406.2812720129931,394.50331014707893,399.4899549699695,1303793
2023-08-08,411.8741760253906,411.8741760253906,402.48817889277416,403.8843761782301,1141777
2023-08-09,424.0586242675781,431.648940062101,415.0700996242748,420.2634511309832,1225579
2023-08-10,409.1095275878906,422.6932482648761,404.11551487436907,422.6932482648761,1044639
2023-08-11,398.9217529296875,408.90977894435684,396.92414772675363,400.51984318824185,1562199
2023-08-14,406.5126647949219,408.1107550770552,397.32366853343274,399.1215315312216,721682
2023-08-15,401.5186767578125,409.30932545771276,401.5186767578125,409.30932545771276,1296104
2023-08-16,396.5246276855469,401.31886791854964,393.72799262980124,401.1191256894455,955763
2023-08-17,392.32965087890625,399.52104182415565,390.3320456697855,395.92534635153095,794705
2023-08-18,388.9336853027344,390.531775390308,385.6865713211759,389.53297289570367,956508
2023-08-21,389.3332214355469,390.3320239846181,385.9372988649117,388.53419158870383,796997
2023-08-22,388.33441162109375,390.3320166818628,380.7435367749987,389.7327595484595,600994
2023-08-23,389.7327575683594,397.9229199872806,384.5739339904439,397.9229199872806,962842
2023-08-24,386.5365905761719,394.5270110531987,384.13947052927085,394.5270110531987,842690
2023-08-25,385.9372863769531,389.73275422923285,383.739939128718,384.1394540392122,982976
2023-08-29,391.9300842285156,395.72555191375574,387.7351321313965,389.9324792829258,2061909
2023-08-30,395.1263122558594,395.1263122558594,390.53181422756313,392.1299044740622,1236061
2023-08-31,394.5269775390625,396.7243551759969,389.5329651651503,389.5329651651503,1270736
2023-09-01,392.1299133300781,395.32606341422314,388.5342178145077,388.5342178145077,558135
2023-09-04,395.9253234863281,402.11791146938714,393.32843076823775,402.11791146938714,749879
2023-09-05,395.9253234863281,398.5222162044185,388.5341907356361,391.5305983762708,907553
2023-09-06,393.7279968261719,398.7220098225412,388.53421111753323,388.53421111753323,823859
2023-09-07,388.1346740722656,397.1238969538521,388.1346740722656,393.72797440590415,1007349
2023-09-08,391.9300842285156,395.3260065398118,386.5365569716296,386.5365569716296,550509
2023-09-11,393.3283996582031,401.31881940123236,386.5365550690412,386.5365550690412,725530
2023-09-12,395.7255859375,398.12270598210114,392.32963285319363,395.7255859375,681398
2023-09-13,393.3283996582031,400.5197896193424,388.5341600047985,388.5341600047985,626836
2023-09-14,397.1239013671875,397.1239013671875,388.5341933108939,388.5341933108939,862788
2023-09-15,393.9277038574219,402.1178966320355,393.9277038574219,400.51980651978977,2119362
2023-09-18,387.1358947753906,395.3260578262148,387.1358947753906,389.73278763776375,544281
2023-09-19,381.5425720214844,388.33441713207077,380.7435421782512,382.54137456604326,811540
2023-09-20,382.7411804199219,390.73160146851285,382.5414077012922,390.73160146851285,1280770
2023-09-21,383.54022216796875,385.53782749176025,378.94572382704064,381.7423895689717,708649
2023-09-22,381.3428039550781,383.93969669870125,377.5473664320378,383.34040906847514,886354
2023-09-25,377.7471618652344,379.79469503725454,371.9540883991867,373.5521786822701,737224
2023-09-26,378.3464050292969,382.3416153484279,372.15384732326515,372.15384732326515,642297
2023-09-27,375.74951171875,385.37795194366294,375.3499663349587,378.5461465190899,685053
2023-09-28,372.7531433105469,378.34641349769396,371.35479528272367,376.1490660616109,624475
2023-09-29,375.9492492675781,381.3427765905119,373.3523567103039,381.3427765905119,1068050
2023-10-02,370.15625,380.14427600927667,368.9576746864722,376.7483532623299,730100
2023-10-03,360.7674865722656,368.5581341255962,360.7674865722656,362.96483385295755,643529
2023-10-04,356.9720153808594,361.56651307973686,355.7734706426961,359.5689080350974,656580
2023-10-05,362.5653381347656,367.7591237660251,359.3691576722927,366.16103353478866,1037823
2023-10-06,364.96246337890625,370.3559913143509,354.37514973908594,361.76631335247504,724648
2023-10-09,361.7662658691406,366.76027820592594,356.97199573720735,356.97199573720735,594565
2023-10-10,370.3559875488281,371.95407778631363,363.28447863532756,364.16342978999637,506239
2023-10-11,370.55572509765625,377.7471152434472,363.1645927417802,363.1645927417802,629831
2023-10-12,370.95526123046875,374.9504714332332,369.95645867977765,370.5557463063993,462537
2023-10-13,360.96722412109375,370.9552493069626,360.96722412109375,370.9552493069626,616661
2023-10-16,360.36798095703125,367.35959944939856,357.5713457524994,361.9660712800656,512414
2023-10-17,365.761474609375,368.7578820021956,360.9672044922428,368.7578820021956,735396
2023-10-18,360.7674865722656,367.1598166776951,359.7686840407599,366.36075636387,599758
2023-10-19,355.1741943359375,360.76749473513235,355.1741943359375,355.57370926137247,726704
2023-10-20,347.58331298828125,353.5761287294585,346.78428308187245,347.98282794148565,520408
2023-10-23,351.5784912109375,352.77706644157035,343.3882982573599,347.98279600007334,627899
2023-10-24,346.78424072265625,354.17537313775085,346.78424072265625,351.37870784485466,540274
2023-10-25,344.58685302734375,348.1825480247051,339.5928406646286,339.5928406646286,835559
2023-10-26,338.99359130859375,352.77708527248416,338.5940763707352,346.98401198990905,2262968
2023-10-27,342.58929443359375,345.04036603061587,337.9947963420671,339.5928866105594,642981
2023-10-30,342.58929443359375,346.1849899174423,335.99719112671085,335.99719112671085,785973
2023-10-31,342.58929443359375,350.5797152950187,335.7974488937972,343.18858209440793,861348
2023-11-01,347.9827880859375,349.3811055025178,340.7914283087958,343.5880631419564,1342061
2023-11-02,358.17059326171875,358.23850500598957,349.58088540972994,350.3799152411099,824722
2023-11-03,366.76031494140625,369.15743500695726,358.1706067655659,362.964846896668,1678161
2023-11-06,363.9636535644531,369.35718139296483,361.3667607637517,367.7591216519508,712810
2023-11-07,369.5569152832031,371.35474754351924,361.56649549329603,361.56649549329603,424234
2023-11-08,371.155029296875,375.7994550033675,363.5641239102346,363.5641239102346,501193
2023-11-09,345.3858947753906,364.96243001147286,337.1957325054914,362.96482499719986,1182725
2023-11-10,343.3883361816406,346.18500186830676,336.3967176865319,345.38594146595744,847804
2023-11-13,349.7806396484375,351.77824460249815,343.5880520984363,344.5868545754667,648980
2023-11-14,370.55572509765625,370.55572509765625,346.18495035186066,349.9803876348412,910168
2023-11-15,375.54974365234375,381.74233140498205,361.966023424031,371.55453361348907,652442
2023-11-16,365.96124267578125,375.7495258060107,365.56172775804487,371.9540578849295,1183570
2023-11-17,364.5628967285156,369.357136328697,357.37150684721155,359.36911176079246,763880
2023-11-20,364.5628967285156,369.357136328697,363.1645793852154,365.56169918530605,739635
2023-11-21,361.96600341796875,366.9600156905153,360.5676860778621,364.762668579214,871371
2023-11-22,361.7662658691406,370.7554880753542,359.5688882485422,359.7686609344265,687550
2023-11-23,363.9636535644531,365.1622288512494,359.96844324984653,362.96485098580143,1351778
2023-11-24,369.5569152832031,373.9516400714455,364.3631302273505,373.352352490996,799288
2023-11-27,366.1610107421875,372.9528557008723,364.7626933072858,372.55334078819095,754540
2023-11-28,366.1610107421875,376.74832357393,363.7638907850654,375.94926326753335,943902
2023-11-29,375.74951171875,376.1490266215081,365.1621991499778,374.5509365294425,584405
