Price,Close,High,Low,Open,Volume
Ticker,NXT.L,NXT.L,NXT.L,NXT.L,NXT.L
2021-11-15,8192.849609375,8198.83999417347,8097.00345259947,8106.987427263587,209392
2021-11-16,8150.9169921875,8194.846481121387,8104.564634379309,8178.8721215090645,275868
2021-11-17,8132.94580078125,8164.894519861166,8073.041952506406,8114.974646298797,428396
2021-11-18,8220.8046875,8220.8046875,8087.01942782973,8118.968146556958,223406
2021-11-19,8260.740234375,8314.653694932922,8186.858825462291,8276.714593058829,452222
2021-11-22,8184.861328125,8324.636954611644,8162.896586819957,8280.707472001555,247292
2021-11-23,8172.8818359375,8238.776070138803,8045.086957486486,8124.95875651837,191595
2021-11-24,8136.93896484375,8186.858835793712,8071.044735189801,8172.881271927723,272875
2021-11-25,8097.00390625,8164.894937769729,8027.116079685574,8160.901347680333,171332
2021-11-26,7835.42333984375,7963.218215926829,7791.493851190192,7899.320777885289,218289
2021-11-29,7949.24072265625,8011.141366314211,7881.349694128164,7881.349694128164,266762
2021-11-30,7849.40087890625,7935.263060995532,7813.458570124691,7839.416904244706,567941
2021-12-01,8007.14697265625,8023.121330706437,7873.361723985933,7873.361723985933,423493
2021-12-02,7985.18310546875,8055.070929597634,7925.279256215421,8001.157465269638,231865
2021-12-03,7979.19287109375,8027.115951400619,7931.269790786881,8003.154411247185,438582
2021-12-06,8166.8916015625,8182.865961663356,7983.186460402659,8047.083900806082,168183
2021-12-07,8366.5693359375,8426.473173664976,8228.790509164304,8260.739222618959,296048
2021-12-08,8316.650390625,8412.496541585384,8252.752956651411,8332.624749118397,328713
2021-12-09,8412.4990234375,8412.4990234375,8252.755391376024,8372.56311542213,428896
2021-12-10,8236.7783203125,8376.553952414772,8220.803962357953,8344.605236505682,205888
2021-12-13,8120.96533203125,8282.705728366273,8099.000586849951,8282.705728366273,297934
2021-12-14,8041.09326171875,8142.929804144292,7993.17018293026,8087.0195455577195,731100
2021-12-15,7723.60302734375,8085.022920815626,7653.715202639243,8069.048560883168,495739
2021-12-16,7745.56689453125,7861.380990917642,7653.71433532825,7855.390606621793,687626
2021-12-17,7759.544921875,7915.294922880212,7657.708382756208,7657.708382756208,481753
2021-12-20,7765.5361328125,7767.5329279096495,7551.879057417556,7583.8277789719405,305758
2021-12-21,7865.37548828125,7933.26651813694,7795.487663429805,7859.385103293984,392606
2021-12-22,7895.32666015625,7895.32666015625,7813.45807313895,7893.32986535095,520515
2021-12-23,7893.33056640625,7945.24723595509,7867.372231631831,7905.311336302137,320992
2021-12-24,7931.26904296875,8006.23367366816,7927.275453319723,7981.188913581595,149490
2021-12-29,8097.00390625,8156.907757590938,8069.04877562423,8081.029545892417,192021
2021-12-30,8102.99462890625,8102.99462890625,8041.093979942205,8083.026677627526,126375
2021-12-31,8136.93896484375,8142.018701711901,8011.140890049847,8011.140890049847,50406
2022-01-04,8047.08349609375,8392.52901590125,8047.08349609375,8196.843114507406,400207
2022-01-05,8025.11962890625,8165.993622852724,8011.142062993748,8031.110014297322,319593
2022-01-06,7757.54833984375,8038.8775393638525,7693.650901780687,7987.179757882883,575685
2022-01-07,7775.52001953125,7821.446306241372,7635.744364326528,7815.455921018313,341184
2022-01-10,7641.73388671875,7797.633547046429,7607.393012807454,7767.531962199096,460535
2022-01-11,7987.1796875,8005.150841796875,7743.57070703125,7743.57070703125,356237
2022-01-12,7989.1767578125,8055.07099250578,7917.292138147104,8035.103042598726,254477
2022-01-13,7661.23779296875,7827.004929782202,7600.389188675518,7815.021763265568,376358
2022-01-14,7417.57958984375,7637.270961648493,7407.59361839808,7609.310241600616,305616
2022-01-17,7615.30224609375,7625.2882180923,7449.535110917831,7461.5182773160905,304724
2022-01-18,7509.451171875,7575.358589074966,7461.5185048204785,7555.386644468916,296923
2022-01-19,7529.42236328125,7641.265241887019,7479.492506760817,7489.478478064903,268152
